album_id,album_name,album_type,artists,release_year,release_date,cover_album,total_tracks,available_markets,total_available_markets,album_uri
1lnsc2EAevl8n2LNuQYCKE,Sinéad,single,Within Temptation,2011,2011-04-25,https://i.scdn.co/image/ab67616d0000b273c3eea6cb3889bf68a64c5d5b,1,"AD,AR,BE,BG,BO,BR,CL,CO,CR,CY,CZ,DK,DO,DZ,EC,EE,ES,FI,FR,GR,GT,HK,HN,HU,IL,IN,IS,IT,LT,LU,LV,MA,MC,MT,MX,NI,NL,NO,PA,PE,PL,PT,PY,RO,SE,SK,SV,TN,TR,TW,UY,VN",52,spotify:album:1lnsc2EAevl8n2LNuQYCKE
47H4A8fqBIHaMZvHy4q71O,Leijonat 2011 - Virallinen Leijonat -kokoelma,compilation,Various Artists,2011,2011-05-30,https://i.scdn.co/image/ab67616d0000b2737252d3ff11bfa516b3c88a8e,20,"EE,FI,LT,LV",4,spotify:album:47H4A8fqBIHaMZvHy4q71O
2pdsJZNBTxzAVLptKQlhbJ,Dream Dance Vol. 60,compilation,Various Artists,2011,2011-07-08,https://i.scdn.co/image/ab67616d0000b2736372398523b8483669a90a7d,43,DE,1,spotify:album:2pdsJZNBTxzAVLptKQlhbJ
06QxIY1TbsKRtCRshFdqGu,Sinéad,single,Within Temptation,2011,2011-07-15,https://i.scdn.co/image/ab67616d0000b273ad7913c2adbc6a98796ff484,6,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IN,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,UY,VN,ZA",77,spotify:album:06QxIY1TbsKRtCRshFdqGu
2nkQHTwAcJyYHYlTqoWCvb,Qmusic Top 500 van deze Eeuw (2011),compilation,Various Artists,2011,2011-08-26,https://i.scdn.co/image/ab67616d0000b273904e44df6d779b33fd5e7bbf,89,NL,1,spotify:album:2nkQHTwAcJyYHYlTqoWCvb
3mEt5egWLoK3imDuuNCJ8V,4 DJ's Only 10,compilation,Various Artists,2011,2011-10-04,https://i.scdn.co/image/ab67616d0000b273806a994f52490ed2fdd6de6b,19,"BE,LU",2,spotify:album:3mEt5egWLoK3imDuuNCJ8V
3qB4eQSJ2UgViUwWetDIrn,Armada Weekly 2011 - 42 (This Week's New Single Releases),compilation,Various Artists,2011,2011-10-17,https://i.scdn.co/image/ab67616d0000b273f90570904364f1429aecc521,31,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IN,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",79,spotify:album:3qB4eQSJ2UgViUwWetDIrn
3NzrGar00BVcO9m24ZgKju,Sinéad,single,Within Temptation,2011,2011-10-17,https://i.scdn.co/image/ab67616d0000b273ec3999f62b670776ce48ecd4,4,"AD,AE,AR,AU,BE,BG,BH,BO,BR,CA,CL,CO,CR,CY,CZ,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IN,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",76,spotify:album:3NzrGar00BVcO9m24ZgKju
1mCiaIaDrdihhtBSnlGunX,Dash Berlin Top 15 - November 2011 (Including Classic Bonus Track),compilation,Dash Berlin,2011,2011-11-11,https://i.scdn.co/image/ab67616d0000b2737908e6b719c38fa7659901d2,16,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IN,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",79,spotify:album:1mCiaIaDrdihhtBSnlGunX
0lC4C8m4N0KYy7G31HLAHQ,"Trance Essentials 2012, Vol. 1 [Mixed Version] (50 Trance Hits In The Mix)",compilation,Various Artists,2011,2011-11-25,https://i.scdn.co/image/ab67616d0000b27374870b1b2caeb1e380439501,50,"CA,US",2,spotify:album:0lC4C8m4N0KYy7G31HLAHQ
0X6f39b5DDQZsE2E1u2ztE,Armada Top 15 - December 2011,compilation,Various Artists,2011,2011-11-25,https://i.scdn.co/image/ab67616d0000b2732ef6e079f27b5264c5050d80,15,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IN,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,UY,VN,ZA",77,spotify:album:0X6f39b5DDQZsE2E1u2ztE
2RhmRc5bLmw1gD4BIqFgYn,Armada Stream 40 - Best Of 2011,compilation,Various Artists,2011,2011-12-02,https://i.scdn.co/image/ab67616d0000b273f30b26a49551ae6ea0acd255,40,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IN,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,UY,VN,ZA",77,spotify:album:2RhmRc5bLmw1gD4BIqFgYn
